brand,name,price,n_shades,rating
KEVYN AUCOIN,The Etherealist Foundation,C$70.00 - C$77.00,15 more colors,4 stars
Giorgio Armani Beauty,Neo Nude Fusion Powder,C$75.00,11 more colors,4.5 stars
CLINIQUE,Beyond Perfecting Super Concealer Camouflage + 24-Hour Wear,C$28.00,17 more colors,4 stars
Lancôme,Teint Idole Ultra Wear Camouflage Concealer,C$37.00 - C$41.00,15 more colors,4 stars
Ciaté London,Watermelon Burst Hydrating Face Primer & Lip Oil,C$15.00,,3.5 stars
LAWLESS,Woke Up Like This Flawless Finish Foundation,C$60.00,19 more colors,3.5 stars
tarte,Sea Water Foundation,C$51.00,29 more colors,4 stars
Marc Jacobs Beauty,Accomplice Instant Blurring Beauty Powder,C$65.00,3 more colors,3.5 stars
BECCA,Glow Body Stick - Collector’s Edition,C$62.00,,4 stars
Wander Beauty,On-The-Glow Blush and Illuminator,C$50.00 - C$56.00,3 more colors,4 stars
SEPHORA COLLECTION,Make No Mistake Foundation & Concealer Stick,C$26.50,15 more colors,4 stars
Benefit Cosmetics,Watt’s Up! Cream-to-Powder Highlighter,C$40.00,,4.5 stars
Estée Lauder,Double Wear Nude Water Fresh Foundation SPF 30,C$56.00,8 more colors,4 stars
Urban Decay,All Nighter Waterproof Full-Coverage Concealer,C$38.00,13 more colors,3.5 stars
Too Faced,Hangover 3-in-1 Replenishing Primer & Setting Spray Mini,C$20.00,,4.5 stars
La Mer,The Sheer Pressed Powder,C$135.00,3 more colors,4 stars
Kat Von D,Lock-It Hydrating Primer,C$44.00,,3.5 stars
Too Faced,Major Hangover Super-Sized Replenishing Face Primer,C$65.00,,No stars
BECCA,Aqua Luminous Perfecting Concealer,C$42.00,8 more colors,4 stars
Too Faced,Peach Mist Mattifying Setting Spray – Peaches and Cream Collection,C$20.00 - C$42.00,,3.5 stars
STELLAR,Brilliant Primer,C$20.00 - C$46.00,,4.5 stars
bareMinerals,Endless Glow Highlighter,C$35.00,2 more colors,4.5 stars
COVER FX,Blotting Powder,C$37.00,2 more colors,4 stars
Josie Maran,Argan Matchmaker Serum Foundation,C$59.00,2 more colors,4 stars
Shiseido,Sports BB SPF 50+,C$50.00,2 more colors,4 stars
Marc Jacobs Beauty,Accomplice Concealer & Touch-Up Stick,C$42.00,16 more colors,4.5 stars
CLINIQUE,Even Better Refresh™ Hydrating and Repairing Foundation,C$43.00,26 more colors,4 stars
MILK MAKEUP,Holographic Highlighting Powder,C$30.50,1 more color,4 stars
First Aid Beauty,Hello FAB Bendy Avocado Concealer,C$29.00,10 more colors,4 stars
BECCA,Skin Love Weightless Blur Foundation,C$58.00,23 more colors,4 stars
