brand,name,price,n_shades,rating
Koh Gen Do,Aqua Foundation,C$91.00,1 more color,4 stars
TOM FORD,Traceless Perfecting Foundation Broad Spectrum SPF 15,C$105.00 - C$117.00,17 more colors,3.5 stars
Yves Saint Laurent,All Hours Stick Foundation,C$68.00,19 more colors,4.5 stars
KEVYN AUCOIN,The Etherealist Foundation,C$70.00 - C$77.00,15 more colors,4 stars
COVER FX,Custom Cover Drops,C$39.00,29 more colors,4 stars
Estée Lauder,Double Wear Nude Water Fresh Foundation SPF 30,C$56.00,8 more colors,4 stars
CLINIQUE,Even Better Refresh™ Hydrating and Repairing Foundation,C$43.00,26 more colors,4 stars
Giorgio Armani Beauty,Power Fabric Foundation,C$78.00,19 more colors,4 stars
tarte,Clay Stick Foundation,C$51.00,11 more colors,3.5 stars
CLINIQUE,Superbalanced Makeup,C$38.00,14 more colors,4 stars
LAWLESS,Woke Up Like This Flawless Finish Foundation,C$60.00,19 more colors,3.5 stars
BECCA,Skin Love Weightless Blur Foundation,C$58.00,23 more colors,4 stars
bareMinerals,bareMinerals Matte Foundation Broad Spectrum SPF 15,C$36.00 - C$38.00,29 more colors,4.5 stars
CLINIQUE,Even Better™ Glow Light Reflecting Makeup Broad Spectrum SPF 15,C$37.00 - C$39.00,29 more colors,4.5 stars
SEPHORA COLLECTION,Make No Mistake Foundation & Concealer Stick,C$26.50,15 more colors,4 stars
Josie Maran,Argan Matchmaker Serum Foundation,C$59.00,2 more colors,4 stars
stila,Stay All Day Foundation + Concealer,C$52.00 - C$53.00,15 more colors,3.5 stars
tarte,Sea Water Foundation,C$51.00,29 more colors,4 stars
Shiseido,Sports BB SPF 50+,C$50.00,2 more colors,4 stars
Wander Beauty,Nude Illusion Liquid Foundation,C$48.00 - C$53.00,11 more colors,4 stars
Laura Mercier,Tinted Moisturizer - Oil Free,C$56.00,12 more colors,4.5 stars
BECCA,Ever-Matte Shine Proof Foundation,C$51.00,18 more colors,4 stars
SEPHORA COLLECTION,Matte Perfection Full Coverage Foundation,C$26.50,21 more colors,4 stars
Estée Lauder,Double Wear Stay-In-Place Foundation Pump,C$14.00,,4 stars
Pretty Vulgar,Cool AF Lava Water Foundation,C$50.00,14 more colors,4 stars
surratt beauty,Surreal Skin Foundation Wand,C$90.00,14 more colors,4 stars
STELLAR,Limitless Foundation Customizable Set,C$55.00,,4 stars
Juice Beauty,STEM CELLULAR™ CC Cream,C$51.00,2 more colors,4 stars
Kat Von D,Lock-It Powder Foundation Refills,C$30.00 - C$31.00,25 more colors,5 stars
Kat Von D,Lock-It Foundation Kit,C$69.00,,3 stars
Yves Saint Laurent,Le Cushion Encre de Peau,C$75.00,10 more colors,5 stars
CLINIQUE,Superbalanced Silk Makeup Broad Spectrum 15,C$35.00 - C$38.00,7 more colors,4 stars
Wander Beauty,Flash Focus Hydrating Foundation Stick,C$48.00 - C$53.00,6 more colors,4 stars
Giorgio Armani Beauty,Face Fabric Foundation,C$63.00,11 more colors,4 stars
bareMinerals,BLEMISH RESCUE Skin-Clearing Loose Powder Foundation,C$37.00,11 more colors,4.5 stars
CLINIQUE,Beyond Perfecting Powder Foundation + Concealer,C$39.00,13 more colors,3.5 stars
tarte,babassu foundcealer™ skincare foundation,C$51.00,29 more colors,3.5 stars
bareMinerals,BarePRO™ Performance Wear Liquid Foundation Broad Spectrum SPF 20,C$42.00,28 more colors,4 stars
Yves Saint Laurent,TOUCHE ECLAT LE TEINT Radiance Awakening Foundation,C$74.00,20 more colors,3.5 stars
Yves Saint Laurent,All Hours Full Coverage Matte Foundation,C$74.00,24 more colors,4 stars
Yves Saint Laurent,All-In-One Glow Foundations,C$63.00,11 more colors,4.5 stars
Laura Mercier,Tinted Moisturizer - Illuminating,C$56.00,4 more colors,4.5 stars
tarte,BB Tinted Treatment 12-Hour Primer,C$48.00,3 more colors,4 stars
CLINIQUE,Almost Powder,C$38.00,,4.5 stars
lilah b.,Marvelous Matte™ Crème Foundation,C$69.00 - C$71.00,4 more colors,4 stars
IT Cosmetics,Celebration Foundation,C$46.00,6 more colors,3.5 stars
Guerlain,Lingerie de Peau Fluide,C$75.00,13 more colors,4 stars
MAC Cosmetics,Pro Longwear Nourishing Waterproof Foundation,C$43.00,23 more colors,4 stars
Estée Lauder,Perfectionist Youth-Infusing Serum Foundation SPF 25,C$69.00,,4 stars
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,C$60.00,34 more colors,3.5 stars
NARS,Sheer Glow Foundation Pump,C$8.00,,3.5 stars
Hourglass,Illusion Hyaluronic Skin Tint,C$74.00,5 more colors,4 stars
Dior,Dior Forever Skin Glow 24h* Wear Radiant Perfection Skin-Caring Foundation,C$68.00,23 more colors,4.5 stars
Giorgio Armani Beauty,Maestro Fusion Makeup,C$80.00,9 more colors,5 stars
Dior,Dior Forever 24h* Wear High Perfection Skin-Caring Matte Foundation,C$68.00,27 more colors,4 stars
bareMinerals,COMPLEXION RESCUE Hydrating Foundation Stick Broad Spectrum SPF 25,C$40.00,19 more colors,4.5 stars
Natasha Denona,Foundation X+,C$60.00,19 more colors,4 stars
Black Up,Full Coverage Cream Foundation,C$53.00,9 more colors,4 stars
Dr. Jart+,Premium Beauty Balm,C$52.00,,4.5 stars
Yves Saint Laurent,Top Secrets All-In-One BB Cream Skintone Corrector,C$66.00,1 more color,4.5 stars
Smashbox,Photo Filter Powder Foundation,C$55.00,9 more colors,4 stars
Charlotte Tilbury,Magic Foundation,C$50.00 - C$53.00,19 more colors,3.5 stars
MAKE UP FOR EVER,Liquid Lift Foundation,C$53.00 - C$56.00,7 more colors,4 stars
Guerlain,L'Essentiel Natural Glow Foundation,C$75.00,29 more colors,4.5 stars
Benefit Cosmetics,Hello Happy Soft Blur Foundation,C$40.00,11 more colors,4 stars
